"","datetime","days","crd"
"8244",1958-05-18,5,50
"8306",1958-05-25,5.9,50
"8368",1958-06-01,6.7,50
"8429",1958-06-08,6.6,50
"8491",1958-06-15,6.1,50
"8553",1958-06-22,6.5,50
"8615",1958-06-29,4.2,50
"8677",1958-07-06,2.9,50
"8739",1958-07-13,5,50
"8800",1958-07-20,4.3,50
"8862",1958-07-27,4,50
"8924",1958-08-03,5.2,50
"8986",1958-08-10,3.2,50
"9048",1958-08-17,5.1,50
"9110",1958-08-24,3.7,50
"9172",1958-08-31,6,50
"9234",1958-09-07,6.5,50
"9296",1958-09-14,4.9,50
"9358",1958-09-21,6.7,50
"9420",1958-09-28,6,50
"9482",1958-10-05,6.1,50
"9543",1958-10-12,5.3,50
"9604",1958-10-19,5.6,50
"9666",1958-10-26,6.9,50
"7893",1959-04-05,0.9,50
"7947",1959-04-12,5,50
"8003",1959-04-19,6.2,50
"8061",1959-04-26,2.8,50
"8122",1959-05-03,4.8,50
"8183",1959-05-10,3.3,50
"8245",1959-05-17,4,50
"8307",1959-05-24,2.8,50
"8369",1959-05-31,4,50
"8430",1959-06-07,4.8,50
"8492",1959-06-14,6.8,50
"8554",1959-06-21,6.9,50
"8616",1959-06-28,6.8,50
"8678",1959-07-05,2.8,50
"8740",1959-07-12,5.6,50
"8801",1959-07-19,6.6,50
"8863",1959-07-26,6.4,50
"8925",1959-08-02,6.2,50
"8987",1959-08-09,5.7,50
"9049",1959-08-16,6.8,50
"9111",1959-08-23,6.4,50
"9173",1959-08-30,6.1,50
"9235",1959-09-06,5.2,50
"9297",1959-09-13,6.9,50
"9359",1959-09-20,6.2,50
"9421",1959-09-27,4.8,50
"9483",1959-10-04,3.8,50
"9544",1959-10-11,1.4,50
"9605",1959-10-18,5.5,50
"9667",1959-10-25,6.4,50
"8004",1960-04-17,0.6,50
"8062",1960-04-24,5.8,50
"8123",1960-05-01,3.2,50
"8184",1960-05-08,5.1,50
"8246",1960-05-15,3.9,50
"8308",1960-05-22,4,50
"8370",1960-05-29,1.9,50
"8431",1960-06-05,1.9,50
"8493",1960-06-12,6.1,50
"8555",1960-06-19,6.5,50
"8617",1960-06-26,3.8,50
"8679",1960-07-03,3.7,50
"8741",1960-07-10,4.5,50
"8802",1960-07-17,6.8,50
"8864",1960-07-24,3.9,50
"8926",1960-07-31,6.9,50
"8988",1960-08-07,6.5,50
"9050",1960-08-14,6.7,50
"9112",1960-08-21,6.1,50
"9174",1960-08-28,4.4,50
"9236",1960-09-04,6,50
"9298",1960-09-11,6,50
"9360",1960-09-18,6.6,50
"9422",1960-09-25,6.1,50
"9484",1960-10-02,5.3,50
"9545",1960-10-09,4.9,50
"9606",1960-10-16,7,50
"9668",1960-10-23,5.6,50
"9728",1960-10-30,6.8,50
"7894",1961-04-02,2.6,50
"7948",1961-04-09,4.2,50
"8005",1961-04-16,2.9,50
"8063",1961-04-23,3.8,50
"8124",1961-04-30,4.5,50
"8185",1961-05-07,4.1,50
"8247",1961-05-14,6.6,50
"8309",1961-05-21,4.3,50
"8371",1961-05-28,6.2,50
"8432",1961-06-04,1.8,50
"8494",1961-06-11,3.2,50
"8556",1961-06-18,5.2,50
"8618",1961-06-25,6.8,50
"8680",1961-07-02,6.9,50
"8742",1961-07-09,4.9,50
"8803",1961-07-16,5.6,50
"8865",1961-07-23,4.6,50
"8927",1961-07-30,4.2,50
"8989",1961-08-06,4,50
"9051",1961-08-13,5.9,50
"9113",1961-08-20,6.8,50
"9175",1961-08-27,6.6,50
"9237",1961-09-03,6.7,50
"9299",1961-09-10,5.6,50
"9361",1961-09-17,3.6,50
"9423",1961-09-24,5.6,50
"9485",1961-10-01,5.2,50
"9546",1961-10-08,5.3,50
"9607",1961-10-15,4.2,50
"9669",1961-10-22,5.9,50
"9729",1961-10-29,6.9,50
"7877",1962-04-01,0.4,50
"7895",1962-04-08,2.9,50
"7949",1962-04-15,5.8,50
"8006",1962-04-22,6.5,50
"8064",1962-04-29,6.3,50
"8125",1962-05-06,3.1,50
"8186",1962-05-13,6.5,50
"8248",1962-05-20,5.6,50
"8310",1962-05-27,3.7,50
"8372",1962-06-03,1.8,50
"8433",1962-06-10,5.6,50
"8495",1962-06-17,6.5,50
"8557",1962-06-24,6.7,50
"8619",1962-07-01,5.2,50
"8681",1962-07-08,6.2,50
"8743",1962-07-15,3.9,50
"8804",1962-07-22,5.8,50
"8866",1962-07-29,6.5,50
"8928",1962-08-05,6.2,50
"8990",1962-08-12,6.7,50
"9052",1962-08-19,6,50
"9114",1962-08-26,5.9,50
"9176",1962-09-02,5.6,50
"9238",1962-09-09,5.9,50
"9300",1962-09-16,6.8,50
"9362",1962-09-23,6.9,50
"9424",1962-09-30,2.4,50
"9486",1962-10-07,4.3,50
"9547",1962-10-14,4.7,50
"9608",1962-10-21,5.2,50
"9670",1962-10-28,6.2,50
"7878",1963-03-31,5.8,50
"7896",1963-04-07,6.9,50
"7950",1963-04-14,5.3,50
"8007",1963-04-21,3.6,50
"8065",1963-04-28,1.8,50
"8126",1963-05-05,5.3,50
"8187",1963-05-12,3.2,50
"8249",1963-05-19,6.7,50
"8311",1963-05-26,5,50
"8373",1963-06-02,5.4,50
"8434",1963-06-09,6.6,50
"8496",1963-06-16,6.7,50
"8558",1963-06-23,6.6,50
"8620",1963-06-30,4.8,50
"8682",1963-07-07,6.3,50
"8744",1963-07-14,4.6,50
"8805",1963-07-21,7,50
"8867",1963-07-28,6.4,50
"8929",1963-08-04,4.2,50
"8991",1963-08-11,6.6,50
"9053",1963-08-18,6.8,50
"9115",1963-08-25,5.5,50
"9177",1963-09-01,5.3,50
"9239",1963-09-08,5.6,50
"9301",1963-09-15,5.9,50
"9363",1963-09-22,5.4,50
"9425",1963-09-29,7,50
"9487",1963-10-06,7,50
"9548",1963-10-13,6.4,50
"9609",1963-10-20,6.4,50
"9671",1963-10-27,7,50
"7879",1964-03-29,1.2,50
"7897",1964-04-05,3,50
"7951",1964-04-12,5.2,50
"8008",1964-04-19,3.9,50
