"","datetime","days","crd"
"8066",1964-04-26,1.6,50
"8127",1964-05-03,4.6,50
"8188",1964-05-10,4.2,50
"8250",1964-05-17,6.6,50
"8312",1964-05-24,5.1,50
"8374",1964-05-31,6.9,50
"8435",1964-06-07,5.3,50
"8497",1964-06-14,3.8,50
"8559",1964-06-21,4,50
"8621",1964-06-28,6.2,50
"8683",1964-07-05,5.5,50
"8745",1964-07-12,5.1,50
"8806",1964-07-19,6.4,50
"8868",1964-07-26,5.7,50
"8930",1964-08-02,5.9,50
"8992",1964-08-09,6.5,50
"9054",1964-08-16,6.1,50
"9116",1964-08-23,5.9,50
"9178",1964-08-30,5.6,50
"9240",1964-09-06,4,50
"9302",1964-09-13,5.4,50
"9364",1964-09-20,2.8,50
"9426",1964-09-27,6.4,50
"9488",1964-10-04,6.8,50
"9549",1964-10-11,6.4,50
"9610",1964-10-18,6.9,50
"9672",1964-10-25,6.7,50
"7898",1965-04-04,0.2,50
"7952",1965-04-11,5.7,50
"8009",1965-04-18,2.2,50
"8067",1965-04-25,5.9,50
"8128",1965-05-02,6.2,50
"8189",1965-05-09,6.4,50
"8251",1965-05-16,3.2,50
"8313",1965-05-23,2.5,50
"8375",1965-05-30,4.5,50
"8436",1965-06-06,6.9,50
"8498",1965-06-13,5.5,50
"8560",1965-06-20,3.5,50
"8622",1965-06-27,4.5,50
"8684",1965-07-04,5.6,50
"8746",1965-07-11,5.2,50
"8807",1965-07-18,6.9,50
"8869",1965-07-25,6.4,50
"8931",1965-08-01,6.9,50
"8993",1965-08-08,6.3,50
"9055",1965-08-15,6.6,50
"9117",1965-08-22,4.3,50
"9179",1965-08-29,0.7,50
"9241",1965-09-05,0.8,50
"9303",1965-09-12,1.9,50
"9365",1965-09-19,1,50
"9427",1965-09-26,6.2,50
"9489",1965-10-03,6.6,50
"9550",1965-10-10,4.6,50
"9611",1965-10-17,6.9,50
"9673",1965-10-24,7,50
"9730",1965-10-31,5.2,50
"7875",1966-03-20,2.9,50
"7880",1966-03-27,4.8,50
"7899",1966-04-03,5.7,50
"7953",1966-04-10,4.6,50
"8010",1966-04-17,5.2,50
"8068",1966-04-24,6.8,50
"8129",1966-05-01,3.2,50
"8190",1966-05-08,3.1,50
"8252",1966-05-15,3.5,50
"8314",1966-05-22,5.6,50
"8376",1966-05-29,3.3,50
"8437",1966-06-05,2,50
"8499",1966-06-12,6.7,50
"8561",1966-06-19,5.7,50
"8623",1966-06-26,5.9,50
"8685",1966-07-03,6.2,50
"8747",1966-07-10,6.8,50
"8808",1966-07-17,5.6,50
"8870",1966-07-24,6.5,50
"8932",1966-07-31,6.4,50
"8994",1966-08-07,6.6,50
"9056",1966-08-14,5.8,50
"9118",1966-08-21,6.6,50
"9180",1966-08-28,6.8,50
"9242",1966-09-04,6.8,50
"9304",1966-09-11,6.8,50
"9366",1966-09-18,6.2,50
"9428",1966-09-25,6.5,50
"9490",1966-10-02,5.7,50
"9551",1966-10-09,5.8,50
"9612",1966-10-16,6.9,50
"9674",1966-10-23,6.9,50
"9731",1966-10-30,6.1,50
"7900",1967-04-02,4.2,50
"7954",1967-04-09,6.3,50
"8011",1967-04-16,3.6,50
"8069",1967-04-23,4.8,50
"8130",1967-04-30,3.2,50
"8191",1967-05-07,6,50
"8253",1967-05-14,5.4,50
"8315",1967-05-21,6.8,50
"8377",1967-05-28,6.9,50
"8438",1967-06-04,3.1,50
"8500",1967-06-11,1.5,50
"8562",1967-06-18,0.7,50
"8624",1967-06-25,3.9,50
"8686",1967-07-02,3.9,50
"8748",1967-07-09,6.7,50
"8809",1967-07-16,6.5,50
"8871",1967-07-23,6.7,50
"8933",1967-07-30,6.3,50
"8995",1967-08-06,6.2,50
"9057",1967-08-13,5.8,50
"9119",1967-08-20,6.6,50
"9181",1967-08-27,6.3,50
"9243",1967-09-03,6.9,50
"9305",1967-09-10,6.9,50
"9367",1967-09-17,4.9,50
"9429",1967-09-24,5.4,50
"9491",1967-10-01,5.5,50
"9552",1967-10-08,6.4,50
"9613",1967-10-15,3.8,50
"9675",1967-10-22,6.5,50
"9732",1967-10-29,5.2,50
"7881",1968-03-31,4,50
"7901",1968-04-07,6.5,50
"7955",1968-04-14,3.7,50
"8012",1968-04-21,2.1,50
"8070",1968-04-28,6.9,50
"8131",1968-05-05,5.7,50
"8192",1968-05-12,5.8,50
"8254",1968-05-19,6.1,50
"8316",1968-05-26,4.7,50
"8378",1968-06-02,6.9,50
"8439",1968-06-09,5.2,50
"8501",1968-06-16,6.5,50
"8563",1968-06-23,3.1,50
"8625",1968-06-30,6.2,50
"8687",1968-07-07,6.4,50
"8749",1968-07-14,3.9,50
"8810",1968-07-21,5.3,50
"8872",1968-07-28,6.7,50
"8934",1968-08-04,3.2,50
"8996",1968-08-11,5.1,50
"9058",1968-08-18,6,50
"9120",1968-08-25,5.2,50
"9182",1968-09-01,4.3,50
"9244",1968-09-08,6,50
"9306",1968-09-15,3.2,50
"9368",1968-09-22,6,50
"9430",1968-09-29,5.1,50
"9492",1968-10-06,1.7,50
"9553",1968-10-13,2.3,50
"9614",1968-10-20,5.1,50
"9676",1968-10-27,5.9,50
"7956",1969-04-13,1.4,50
"8013",1969-04-20,1.3,50
"8071",1969-04-27,5.4,50
"8132",1969-05-04,3.8,50
"8193",1969-05-11,2.8,50
"8255",1969-05-18,5.4,50
"8317",1969-05-25,1.5,50
"8379",1969-06-01,6,50
"8440",1969-06-08,6.4,50
"8502",1969-06-15,3.3,50
"8564",1969-06-22,6,50
"8626",1969-06-29,2.2,50
"8688",1969-07-06,2.3,50
"8750",1969-07-13,0.9,50
"8811",1969-07-20,4.4,50
"8873",1969-07-27,4.6,50
"8935",1969-08-03,5.5,50
"8997",1969-08-10,6.3,50
"9059",1969-08-17,6.4,50
"9121",1969-08-24,5.2,50
"9183",1969-08-31,6.8,50
"9245",1969-09-07,5.1,50
"9307",1969-09-14,5.3,50
"9369",1969-09-21,6.3,50
"9431",1969-09-28,6.2,50
"9493",1969-10-05,5.7,50
"9554",1969-10-12,5.6,50
"9615",1969-10-19,2.8,50
"9677",1969-10-26,4.6,50
"7902",1970-04-05,0.2,50
"7957",1970-04-12,5.4,50
"8014",1970-04-19,2.5,50
"8072",1970-04-26,3.2,50
"8133",1970-05-03,6,50
"8194",1970-05-10,6.9,50
"8256",1970-05-17,2.5,50
"8318",1970-05-24,5.7,50
"8380",1970-05-31,4.5,50
"8441",1970-06-07,4.4,50
"8503",1970-06-14,5.6,50
"8565",1970-06-21,5.6,50
"8627",1970-06-28,6.2,50
"8689",1970-07-05,6.8,50
"8751",1970-07-12,6.9,50
"8812",1970-07-19,5.8,50
"8874",1970-07-26,6.3,50
"8936",1970-08-02,5.7,50
"8998",1970-08-09,2.9,50
"9060",1970-08-16,5.3,50
"9122",1970-08-23,5.8,50
"9184",1970-08-30,6.9,50
"9246",1970-09-06,6.9,50
"9308",1970-09-13,5.6,50
"9370",1970-09-20,1,50
"9432",1970-09-27,1.4,50
"9494",1970-10-04,5.6,50
"9555",1970-10-11,4.4,50
"9616",1970-10-18,4.6,50
"9678",1970-10-25,4.9,50
"7903",1971-04-04,1.1,50
"7958",1971-04-11,5.7,50
"8015",1971-04-18,6.6,50
"8073",1971-04-25,6.4,50
"8134",1971-05-02,5,50
"8195",1971-05-09,5.8,50
"8257",1971-05-16,6.5,50
"8319",1971-05-23,4,50
"8381",1971-05-30,4.2,50
"8442",1971-06-06,6.5,50
"8504",1971-06-13,6.1,50
"8566",1971-06-20,5.6,50
"8628",1971-06-27,6.8,50
"8690",1971-07-04,5.1,50
"8752",1971-07-11,2.9,50
"8813",1971-07-18,5.3,50
"8875",1971-07-25,6.3,50
"8937",1971-08-01,6.2,50
"8999",1971-08-08,6.7,50
"9061",1971-08-15,6.8,50
"9123",1971-08-22,6.3,50
"9185",1971-08-29,6.8,50
"9247",1971-09-05,6.9,50
"9309",1971-09-12,5.7,50
"9371",1971-09-19,6.9,50
"9433",1971-09-26,5.8,50
"9495",1971-10-03,5.2,50
"9556",1971-10-10,6.4,50
"9617",1971-10-17,6.9,50
"9679",1971-10-24,4.1,50
"9733",1971-10-31,4.4,50
"7904",1972-04-02,1,50
"7959",1972-04-09,2.4,50
"8016",1972-04-16,5.5,50
"8074",1972-04-23,3.5,50
"8135",1972-04-30,5,50
"8196",1972-05-07,2.4,50
"8258",1972-05-14,3.2,50
"8320",1972-05-21,5.7,50
"8382",1972-05-28,5.5,50
"8443",1972-06-04,4.1,50
"8505",1972-06-11,4.1,50
"8567",1972-06-18,3.2,50
"8629",1972-06-25,4,50
"8691",1972-07-02,5.4,50
"8753",1972-07-09,6.5,50
"8814",1972-07-16,4,50
"8876",1972-07-23,3,50
"8938",1972-07-30,3.9,50
"9000",1972-08-06,2.4,50
"9062",1972-08-13,2.5,50
"9124",1972-08-20,6.6,50
"9186",1972-08-27,5.7,50
"9248",1972-09-03,6.2,50
"9310",1972-09-10,5.6,50
"9372",1972-09-17,2,50
"9434",1972-09-24,5.7,50
"9496",1972-10-01,4.1,50
"9557",1972-10-08,3.6,50
"9618",1972-10-15,5.2,50
"9680",1972-10-22,6,50
"9734",1972-10-29,3.2,50
"7905",1973-04-03,1.6,50
"7960",1973-04-10,0.3,50
"8017",1973-04-17,0.2,50
"8075",1973-04-24,4.7,50
"8136",1973-05-01,2.1,50
"8197",1973-05-08,1.2,50
"8259",1973-05-15,6.5,50
"8321",1973-05-22,6.4,50
"8383",1973-05-29,2.7,50
"8444",1973-06-05,4.6,50
"8506",1973-06-12,5.7,50
"8568",1973-06-19,5.2,50
"8630",1973-06-26,6.2,50
"8692",1973-07-03,3.4,50
"8754",1973-07-10,6.4,50
"8815",1973-07-17,5.9,50
"8877",1973-07-24,3.4,50
"8939",1973-07-31,5.4,50
"9001",1973-08-07,5.8,50
"9063",1973-08-14,6,50
"9125",1973-08-21,4.7,50
"9187",1973-08-28,6.4,50
"9249",1973-09-04,5.4,50
"9311",1973-09-11,4,50
"9373",1973-09-18,2.7,50
"9435",1973-09-25,1.8,50
"9497",1973-10-02,1.9,50
"9558",1973-10-09,0.7,50
"9619",1973-10-16,6.4,50
"9681",1973-10-23,7,50
"9735",1973-10-30,6.1,50
"7906",1974-04-07,2.7,50
"7961",1974-04-14,4.7,50
"8018",1974-04-21,4.9,50
"8076",1974-04-28,4.4,50
"8137",1974-05-05,5.4,50
"8198",1974-05-12,3,50
"8260",1974-05-19,0.8,50
"8322",1974-05-26,2,50
"8384",1974-06-02,1.6,50
"8445",1974-06-09,5.9,50
"8507",1974-06-16,3.3,50
"8569",1974-06-23,4.5,50
"8631",1974-06-30,4.6,50
"8693",1974-07-07,5.8,50
"8755",1974-07-14,5.3,50
"8816",1974-07-21,6.9,50
"8878",1974-07-28,6.7,50
"8940",1974-08-04,4.5,50
"9002",1974-08-11,5.7,50
"9064",1974-08-18,3.6,50
"9126",1974-08-25,5.5,50
"9188",1974-09-01,6.3,50
"9250",1974-09-08,5.8,50
"9312",1974-09-15,4.9,50
"9374",1974-09-22,6.8,50
"9436",1974-09-29,7,50
"9498",1974-10-06,6,50
"9559",1974-10-13,5.3,50
"9620",1974-10-20,4.4,50
"9682",1974-10-27,6.8,50
"7907",1975-04-06,0.1,50
"8019",1975-04-20,0.5,50
"8077",1975-04-27,1.2,50
"8138",1975-05-04,3.7,50
"8199",1975-05-11,4.6,50
"8261",1975-05-18,5.9,50
"8323",1975-05-25,6.2,50
"8385",1975-06-01,3.9,50
"8446",1975-06-08,4.2,50
"8508",1975-06-15,2.6,50
"8570",1975-06-22,0.9,50
"8632",1975-06-29,2.4,50
"8694",1975-07-06,6.4,50
"8756",1975-07-13,6.4,50
"8817",1975-07-20,6.9,50
"8879",1975-07-27,6.6,50
"8941",1975-08-03,6.9,50
"9003",1975-08-10,6.9,50
"9065",1975-08-17,5.5,50
"9127",1975-08-24,5.1,50
"9189",1975-08-31,3.5,50
"9251",1975-09-07,4.4,50
"9313",1975-09-14,5.8,50
"9375",1975-09-21,5.1,50
"9437",1975-09-28,7,50
"9499",1975-10-05,5.9,50
"9560",1975-10-12,6.9,50
"9621",1975-10-19,6.9,50
"9683",1975-10-26,6.5,50
"7882",1976-03-30,4.9,50
"7908",1976-04-06,3.1,50
"7962",1976-04-13,6.9,50
"8020",1976-04-20,5.7,50
"8078",1976-04-27,0.1,50
"8139",1976-05-04,2.3,50
"8200",1976-05-11,5.9,50
"8262",1976-05-18,5.1,50
"8324",1976-05-25,4.4,50
"8386",1976-06-01,4.1,50
"8447",1976-06-08,6,50
"8509",1976-06-15,5.5,50
"8571",1976-06-22,3.2,50
"8633",1976-06-29,5.7,50
"8695",1976-07-06,5,50
"8757",1976-07-13,6.9,50
"8818",1976-07-20,6.8,50
"8880",1976-07-27,5.2,50
"8942",1976-08-03,4.8,50
"9004",1976-08-10,6.9,50
"9066",1976-08-17,6.1,50
"9128",1976-08-24,6.4,50
"9190",1976-08-31,7,50
"9252",1976-09-07,7,50
"9314",1976-09-14,7,50
"9376",1976-09-21,7,50
"9438",1976-09-28,6.4,50
"9500",1976-10-05,6.2,50
"9561",1976-10-12,5.1,50
"9622",1976-10-19,7,50
"9684",1976-10-26,5.9,50
"7876",1977-03-19,3.3,50
"7883",1977-03-26,2.5,50
"7909",1977-04-02,2.3,50
"7963",1977-04-09,6.5,50
"8021",1977-04-16,4.3,50
"8079",1977-04-23,6.7,50
"8140",1977-04-30,4.6,50
"8201",1977-05-07,6.8,50
"8263",1977-05-14,5.9,50
"8325",1977-05-21,5.9,50
"8387",1977-05-28,6.5,50
"8448",1977-06-04,6.5,50
"8510",1977-06-11,6.5,50
"8572",1977-06-18,5.7,50
"8634",1977-06-25,6.4,50
"8696",1977-07-02,6,50
"8758",1977-07-09,6.8,50
"8819",1977-07-16,5.3,50
"8881",1977-07-23,6.3,50
"8943",1977-07-30,6.1,50
"9005",1977-08-06,3.5,50
"9067",1977-08-13,4.3,50
"9129",1977-08-20,5.6,50
"9191",1977-08-27,3.1,50
"9253",1977-09-03,3.2,50
"9315",1977-09-10,4.9,50
"9377",1977-09-17,4,50
"9439",1977-09-24,5.7,50
"9501",1977-10-01,4.7,50
"9562",1977-10-08,4.2,50
"9623",1977-10-15,6.8,50
"9685",1977-10-22,2.4,50
"9736",1977-10-29,2.3,50
"7910",1978-04-08,3.4,50
"7964",1978-04-15,2.1,50
"8022",1978-04-22,1.3,50
"8080",1978-04-29,2.4,50
"8141",1978-05-06,6.3,50
"8202",1978-05-13,3.7,50
"8264",1978-05-20,5.4,50
"8326",1978-05-27,5.8,50
"8388",1978-06-03,5.6,50
"8449",1978-06-10,6.8,50
"8511",1978-06-17,5.2,50
"8573",1978-06-24,3.9,50
"8635",1978-07-01,3.3,50
"8697",1978-07-08,3.6,50
"8759",1978-07-15,5.3,50
"8820",1978-07-22,2.6,50
"8882",1978-07-29,5.3,50
"8944",1978-08-05,6.8,50
"9006",1978-08-12,6.7,50
"9068",1978-08-19,6.6,50
"9130",1978-08-26,5.4,50
"9192",1978-09-02,5,50
"9254",1978-09-09,7,50
"9316",1978-09-16,4,50
"9378",1978-09-23,1.9,50
"9440",1978-09-30,6.3,50
"9502",1978-10-07,5.3,50
"9563",1978-10-14,4.4,50
"9624",1978-10-21,6.7,50
"9686",1978-10-28,6.2,50
"7911",1979-04-07,0.1,50
"7965",1979-04-14,0.2,50
"8023",1979-04-21,2.1,50
"8081",1979-04-28,1.4,50
"8142",1979-05-05,2.1,50
"8203",1979-05-12,5.5,50
"8265",1979-05-19,5.9,50
"8327",1979-05-26,6.1,50
"8389",1979-06-02,6.8,50
"8450",1979-06-09,6.1,50
"8512",1979-06-16,4.3,50
"8574",1979-06-23,4.6,50
"8636",1979-06-30,3.7,50
"8698",1979-07-07,4.8,50
"8760",1979-07-14,5.2,50
"8821",1979-07-21,6.6,50
"8883",1979-07-28,5.4,50
"8945",1979-08-04,4.1,50
"9007",1979-08-11,5.8,50
"9069",1979-08-18,6.1,50
"9131",1979-08-25,1.7,50
"9193",1979-09-01,4.4,50
"9255",1979-09-08,5.6,50
"9317",1979-09-15,6.4,50
"9379",1979-09-22,7,50
"9441",1979-09-29,6.1,50
"9503",1979-10-06,6.5,50
"9564",1979-10-13,6.9,50
"9625",1979-10-20,6.2,50
"9687",1979-10-27,4.1,50
"7884",1980-03-29,0.6,50
"7912",1980-04-05,2.3,50
"7966",1980-04-12,5.6,50
"8024",1980-04-19,7,50
"8082",1980-04-26,7,50
"8143",1980-05-03,7,50
"8204",1980-05-10,6.4,50
"8266",1980-05-17,4.8,50
"8328",1980-05-24,5.5,50
"8390",1980-05-31,1.9,50
"8451",1980-06-07,6.2,50
"8513",1980-06-14,3.6,50
"8575",1980-06-21,6.5,50
"8637",1980-06-28,6.8,50
"8699",1980-07-05,6.5,50
"8761",1980-07-12,6.4,50
"8822",1980-07-19,7,50
"8884",1980-07-26,6.9,50
"8946",1980-08-02,6.3,50
"9008",1980-08-09,4.4,50
"9070",1980-08-16,6.6,50
"9132",1980-08-23,4.5,50
"9194",1980-08-30,6.4,50
"9256",1980-09-06,6,50
"9318",1980-09-13,6.3,50
"9380",1980-09-20,6.4,50
"9442",1980-09-27,7,50
"9504",1980-10-04,5.6,50
"9565",1980-10-11,5.4,50
"9626",1980-10-18,5.1,50
"9688",1980-10-25,6.9,50
"7885",1981-03-28,6.3,50
"7913",1981-04-04,4.6,50
"7967",1981-04-11,3.3,50
"8025",1981-04-18,3.9,50
"8083",1981-04-25,6.4,50
"8144",1981-05-02,6.3,50
"8205",1981-05-09,6.2,50
"8267",1981-05-16,6.2,50
"8329",1981-05-23,6.5,50
"8391",1981-05-30,6.1,50
"8452",1981-06-06,4.8,50
"8514",1981-06-13,4.5,50
"8576",1981-06-20,5,50
"8638",1981-06-27,5.8,50
"8700",1981-07-04,6.1,50
"8762",1981-07-11,5.4,50
"8823",1981-07-18,3.6,50
"8885",1981-07-25,4.9,50
"8947",1981-08-01,5.7,50
"9009",1981-08-08,6.9,50
"9071",1981-08-15,3.3,50
"9133",1981-08-22,5,50
"9195",1981-08-29,5.8,50
"9257",1981-09-05,6.9,50
"9319",1981-09-12,5.7,50
"9381",1981-09-19,6.1,50
"9443",1981-09-26,5.2,50
"9505",1981-10-03,4.6,50
"9566",1981-10-10,5.5,50
"9627",1981-10-17,6,50
"9689",1981-10-24,1,50
"9737",1981-10-31,6.7,50
"8026",1982-04-17,1.4,50
"8084",1982-04-24,2.6,50
"8145",1982-05-01,6.5,50
"8206",1982-05-08,3.9,50
"8268",1982-05-15,2.7,50
"8330",1982-05-22,0.5,50
"8453",1982-06-05,3.3,50
"8515",1982-06-12,4.5,50
"8577",1982-06-19,3.2,50
"8639",1982-06-26,6.7,50
"8701",1982-07-03,6.2,50
"8763",1982-07-10,4.4,50
"8824",1982-07-17,3.7,50
"8886",1982-07-24,4.2,50
"8948",1982-07-31,6.8,50
"9010",1982-08-07,4.4,50
"9072",1982-08-14,6.4,50
"9134",1982-08-21,6.6,50
"9196",1982-08-28,6.6,50
"9258",1982-09-04,3.9,50
"9320",1982-09-11,5.8,50
"9382",1982-09-18,3.1,50
"9444",1982-09-25,6.3,50
"9506",1982-10-02,5.8,50
"9567",1982-10-09,3.9,50
"9628",1982-10-16,5,50
"9690",1982-10-23,4.7,50
"9738",1982-10-30,5.3,50
"7968",1983-04-09,0.1,50
"8085",1983-04-23,1.6,50
"8146",1983-04-30,6,50
"8207",1983-05-07,2.6,50
"8269",1983-05-14,3.7,50
"8331",1983-05-21,2.3,50
"8392",1983-05-28,3.8,50
"8454",1983-06-04,4.6,50
"8516",1983-06-11,6.4,50
"8578",1983-06-18,5.4,50
"8640",1983-06-25,5.6,50
"8702",1983-07-02,1.4,50
"8764",1983-07-09,4.3,50
"8825",1983-07-16,6.8,50
"8887",1983-07-23,6.6,50
"8949",1983-07-30,6.1,50
"9011",1983-08-06,6.7,50
"9073",1983-08-13,6.9,50
"9135",1983-08-20,7,50
"9197",1983-08-27,6,50
"9259",1983-09-03,4.8,50
"9321",1983-09-10,5.5,50
"9383",1983-09-17,4.6,50
"9445",1983-09-24,3.8,50
"9507",1983-10-01,6.9,50
"9568",1983-10-08,5.9,50
"9629",1983-10-15,3.2,50
"9691",1983-10-22,2.3,50
"9739",1983-10-29,4.6,50
"7914",1984-04-07,0.6,50
"7969",1984-04-14,0.2,50
"8027",1984-04-21,3.4,50
"8086",1984-04-28,2.7,50
"8147",1984-05-05,1,50
"8208",1984-05-12,3.9,50
"8270",1984-05-19,6.6,50
"8332",1984-05-26,3.6,50
"8393",1984-06-02,3.1,50
"8455",1984-06-09,5,50
"8517",1984-06-16,1.5,50
"8579",1984-06-23,3,50
"8641",1984-06-30,5.2,50
"8703",1984-07-07,6.7,50
"8765",1984-07-14,5.5,50
"8826",1984-07-21,4,50
"8888",1984-07-28,4.7,50
"8950",1984-08-04,6.6,50
"9012",1984-08-11,6.7,50
"9074",1984-08-18,6.9,50
"9136",1984-08-25,6.5,50
"9198",1984-09-01,7,50
"9260",1984-09-08,6.6,50
"9322",1984-09-15,4.9,50
"9384",1984-09-22,7,50
"9446",1984-09-29,5.5,50
"9508",1984-10-06,6.5,50
"9569",1984-10-13,3.8,50
"9630",1984-10-20,1.8,50
"9692",1984-10-27,4.9,50
"7886",1985-03-30,0.6,50
"7915",1985-04-06,4.7,50
"7970",1985-04-13,7,50
"8028",1985-04-20,4.2,50
"8087",1985-04-27,6.4,50
"8148",1985-05-04,5.6,50
"8209",1985-05-11,4,50
"8271",1985-05-18,6.3,50
"8333",1985-05-25,6.7,50
"8394",1985-06-01,6.8,50
"8456",1985-06-08,4.1,50
"8518",1985-06-15,6.1,50
"8580",1985-06-22,4.9,50
"8642",1985-06-29,6.8,50
