cat2,chance_2om,chance_4om
early April,0.6935483870967742,0.4838709677419355
late April,0.7096774193548387,0.3709677419354839
early May,0.8870967741935484,0.45161290322580644
late May,0.8709677419354839,0.5483870967741935
