year,month,month2,cat,days_tot,cat2,year_span
1993,4,Apr,Apr 18-24,0.5714285714285714,late April,1989-2019
1993,4,Apr,Apr 25-31,2.071428571428571,late April,1989-2019
1993,5,May,May 1-9,1.2285714285714284,early May,1989-2019
1993,5,May,May 10-17,1.9714285714285713,early May,1989-2019
1993,5,May,May 18-24,6.5,late May,1989-2019
1993,5,May,May 25-31,3.1285714285714286,late May,1989-2019
1994,4,Apr,Apr 1-9,6.785714285714286,early April,1989-2019
1994,4,Apr,Apr 10-17,5.457142857142857,early April,1989-2019
1994,4,Apr,Apr 18-24,6.228571428571428,late April,1989-2019
1994,4,Apr,Apr 25-31,3.942857142857143,late April,1989-2019
1994,5,May,May 1-9,4.457142857142857,early May,1989-2019
1994,5,May,May 10-17,6.5,early May,1989-2019
1994,5,May,May 18-24,6.885714285714286,late May,1989-2019
1994,5,May,May 25-31,5.228571428571429,late May,1989-2019
1995,4,Apr,Apr 1-9,4.085714285714286,early April,1989-2019
1995,4,Apr,Apr 10-17,1.0714285714285716,early April,1989-2019
1995,4,Apr,Apr 18-24,1.2571428571428571,late April,1989-2019
1995,4,Apr,Apr 25-31,1.5428571428571431,late April,1989-2019
1995,5,May,May 1-9,1.5571428571428572,early May,1989-2019
1995,5,May,May 10-17,2.6571428571428575,early May,1989-2019
1995,5,May,May 18-24,4.842857142857143,late May,1989-2019
1995,5,May,May 25-31,3.9428571428571426,late May,1989-2019
1996,4,Apr,Apr 1-9,3.9857142857142858,early April,1989-2019
1996,4,Apr,Apr 10-17,6,early April,1989-2019
1996,4,Apr,Apr 18-24,6.871428571428572,late April,1989-2019
1996,4,Apr,Apr 25-31,3.571428571428571,late April,1989-2019
1996,5,May,May 1-9,3.4285714285714284,early May,1989-2019
1996,5,May,May 10-17,1.9714285714285715,early May,1989-2019
1996,5,May,May 18-24,3.385714285714286,late May,1989-2019
1996,5,May,May 25-31,1.5,late May,1989-2019
1997,4,Apr,Apr 1-9,2.4571428571428573,early April,1989-2019
1997,4,Apr,Apr 10-17,1.9,early April,1989-2019
1997,4,Apr,Apr 18-24,4.428571428571429,late April,1989-2019
1997,4,Apr,Apr 25-31,3.642857142857143,late April,1989-2019
1997,5,May,May 1-9,3.5999999999999996,early May,1989-2019
1997,5,May,May 10-17,7,early May,1989-2019
1997,5,May,May 18-24,6.3428571428571425,late May,1989-2019
1997,5,May,May 25-31,2.357142857142857,late May,1989-2019
1998,4,Apr,Apr 1-9,0.4571428571428572,early April,1989-2019
1998,4,Apr,Apr 10-17,0.9714285714285715,early April,1989-2019
1998,4,Apr,Apr 18-24,2.1285714285714286,late April,1989-2019
1998,4,Apr,Apr 25-31,3,late April,1989-2019
1998,5,May,May 1-9,5.214285714285714,early May,1989-2019
1998,5,May,May 10-17,6.285714285714286,early May,1989-2019
1998,5,May,May 18-24,4.614285714285714,late May,1989-2019
1998,5,May,May 25-31,3.3,late May,1989-2019
1999,4,Apr,Apr 1-9,4.8,early April,1989-2019
1999,4,Apr,Apr 10-17,1.5571428571428574,early April,1989-2019
1999,4,Apr,Apr 18-24,1.6,late April,1989-2019
1999,4,Apr,Apr 25-31,1.4285714285714286,late April,1989-2019
1999,5,May,May 1-9,4.171428571428571,early May,1989-2019
1999,5,May,May 10-17,2.2142857142857144,early May,1989-2019
1999,5,May,May 18-24,1.8714285714285714,late May,1989-2019
1999,5,May,May 25-31,3.971428571428571,late May,1989-2019
2000,4,Apr,Apr 1-9,7.542857142857143,early April,1989-2019
2000,4,Apr,Apr 10-17,6.242857142857143,early April,1989-2019
2000,4,Apr,Apr 18-24,5.442857142857143,late April,1989-2019
2000,4,Apr,Apr 25-31,5.657142857142857,late April,1989-2019
2000,5,May,May 1-9,7.714285714285714,early May,1989-2019
2000,5,May,May 10-17,5.942857142857143,early May,1989-2019
2000,5,May,May 18-24,6.7142857142857135,late May,1989-2019
2000,5,May,May 25-31,4.285714285714286,late May,1989-2019
2001,4,Apr,Apr 1-9,0.1142857142857143,early April,1989-2019
2001,4,Apr,Apr 10-17,1.0714285714285714,early April,1989-2019
2001,4,Apr,Apr 18-24,4.885714285714285,late April,1989-2019
2001,4,Apr,Apr 25-31,4.185714285714285,late April,1989-2019
2001,5,May,May 1-9,3.8285714285714283,early May,1989-2019
2001,5,May,May 10-17,3.4857142857142858,early May,1989-2019
2001,5,May,May 18-24,3.257142857142857,late May,1989-2019
2001,5,May,May 25-31,1.4142857142857144,late May,1989-2019
2002,4,Apr,Apr 1-9,5.014285714285715,early April,1989-2019
2002,4,Apr,Apr 10-17,5.228571428571428,early April,1989-2019
2002,4,Apr,Apr 18-24,5.571428571428571,late April,1989-2019
2002,4,Apr,Apr 25-31,3.057142857142857,late April,1989-2019
2002,5,May,May 1-9,3.8142857142857145,early May,1989-2019
2002,5,May,May 10-17,4.2857142857142865,early May,1989-2019
2002,5,May,May 18-24,4.757142857142857,late May,1989-2019
2002,5,May,May 25-31,5.157142857142857,late May,1989-2019
2003,4,Apr,Apr 1-9,4.0285714285714285,early April,1989-2019
2003,4,Apr,Apr 10-17,2.6142857142857148,early April,1989-2019
2003,4,Apr,Apr 18-24,4.114285714285714,late April,1989-2019
2003,4,Apr,Apr 25-31,2.7857142857142856,late April,1989-2019
2003,5,May,May 1-9,1.4285714285714286,early May,1989-2019
2003,5,May,May 10-17,1.2571428571428571,early May,1989-2019
2003,5,May,May 18-24,5.0285714285714285,late May,1989-2019
2003,5,May,May 25-31,6.242857142857144,late May,1989-2019
2004,4,Apr,Apr 1-9,5.314285714285714,early April,1989-2019
2004,4,Apr,Apr 10-17,7.214285714285714,early April,1989-2019
2004,4,Apr,Apr 18-24,4.171428571428572,late April,1989-2019
2004,4,Apr,Apr 25-31,3.9714285714285715,late April,1989-2019
2004,5,May,May 1-9,6.657142857142857,early May,1989-2019
2004,5,May,May 10-17,4.371428571428571,early May,1989-2019
2004,5,May,May 18-24,3.285714285714286,late May,1989-2019
2004,5,May,May 25-31,1.1142857142857143,late May,1989-2019
2005,4,Apr,Apr 1-9,6.042857142857143,early April,1989-2019
2005,4,Apr,Apr 10-17,4.542857142857143,early April,1989-2019
2005,4,Apr,Apr 18-24,2.7857142857142856,late April,1989-2019
2005,4,Apr,Apr 25-31,4.114285714285714,late April,1989-2019
2005,5,May,May 1-9,6.685714285714285,early May,1989-2019
2005,5,May,May 10-17,2.4714285714285715,early May,1989-2019
2005,5,May,May 18-24,4.428571428571429,late May,1989-2019
2005,5,May,May 25-31,5.657142857142857,late May,1989-2019
2006,4,Apr,Apr 1-9,2.257142857142857,early April,1989-2019
2006,4,Apr,Apr 10-17,5.228571428571429,early April,1989-2019
2006,4,Apr,Apr 18-24,6.0285714285714285,late April,1989-2019
2006,4,Apr,Apr 25-31,3.7714285714285722,late April,1989-2019
2006,5,May,May 1-9,3.3428571428571425,early May,1989-2019
2006,5,May,May 10-17,4.571428571428571,early May,1989-2019
2006,5,May,May 18-24,5.3428571428571425,late May,1989-2019
2006,5,May,May 25-31,5.228571428571429,late May,1989-2019
2007,4,Apr,Apr 1-9,0.8428571428571427,early April,1989-2019
2007,4,Apr,Apr 10-17,1.4285714285714288,early April,1989-2019
2007,4,Apr,Apr 18-24,3.885714285714286,late April,1989-2019
2007,4,Apr,Apr 25-31,0.7,late April,1989-2019
2007,5,May,May 1-9,3.314285714285714,early May,1989-2019
2007,5,May,May 10-17,4.6,early May,1989-2019
2007,5,May,May 18-24,5.371428571428572,late May,1989-2019
2007,5,May,May 25-31,2.757142857142857,late May,1989-2019
2008,4,Apr,Apr 1-9,0.4285714285714286,early April,1989-2019
2008,4,Apr,Apr 10-17,0.7714285714285715,early April,1989-2019
2008,4,Apr,Apr 18-24,1.0857142857142859,late April,1989-2019
2008,4,Apr,Apr 25-31,1.3285714285714285,late April,1989-2019
2008,5,May,May 1-9,3.0285714285714285,early May,1989-2019
2008,5,May,May 10-17,4.914285714285715,early May,1989-2019
2008,5,May,May 18-24,5.685714285714286,late May,1989-2019
2008,5,May,May 25-31,2.242857142857143,late May,1989-2019
2009,4,Apr,Apr 1-9,2.8857142857142857,early April,1989-2019
2009,4,Apr,Apr 10-17,4.228571428571429,early April,1989-2019
2009,4,Apr,Apr 18-24,5.714285714285714,late April,1989-2019
2009,4,Apr,Apr 25-31,1.7999999999999998,late April,1989-2019
2009,5,May,May 1-9,2.571428571428571,early May,1989-2019
2009,5,May,May 10-17,3.3428571428571425,early May,1989-2019
2009,5,May,May 18-24,5.8999999999999995,late May,1989-2019
2009,5,May,May 25-31,2.8,late May,1989-2019
2010,4,Apr,Apr 1-9,3.6571428571428566,early April,1989-2019
2010,4,Apr,Apr 10-17,5.2,early April,1989-2019
2010,4,Apr,Apr 18-24,5.9714285714285715,late April,1989-2019
2010,4,Apr,Apr 25-31,2.5714285714285716,late April,1989-2019
2010,5,May,May 1-9,4.771428571428572,early May,1989-2019
2010,5,May,May 10-17,2.1714285714285713,early May,1989-2019
2010,5,May,May 18-24,5.200000000000001,late May,1989-2019
2010,5,May,May 25-31,5.385714285714285,late May,1989-2019
2011,4,Apr,Apr 1-9,4,early April,1989-2019
2011,4,Apr,Apr 10-17,4.6000000000000005,early April,1989-2019
2011,4,Apr,Apr 18-24,0.8571428571428572,late April,1989-2019
2011,4,Apr,Apr 25-31,1.2857142857142856,late April,1989-2019
2011,5,May,May 1-9,6.814285714285714,early May,1989-2019
2011,5,May,May 10-17,4.914285714285714,early May,1989-2019
2011,5,May,May 18-24,4.314285714285714,late May,1989-2019
2011,5,May,May 25-31,2.9142857142857146,late May,1989-2019
2012,4,Apr,Apr 1-9,6.514285714285714,early April,1989-2019
2012,4,Apr,Apr 10-17,4.557142857142858,early April,1989-2019
2012,4,Apr,Apr 18-24,2.1142857142857143,late April,1989-2019
2012,4,Apr,Apr 25-31,3.1571428571428566,late April,1989-2019
2012,5,May,May 1-9,2.8857142857142857,early May,1989-2019
2012,5,May,May 10-17,6.742857142857143,early May,1989-2019
2012,5,May,May 18-24,7.314285714285715,late May,1989-2019
2012,5,May,May 25-31,5.785714285714286,late May,1989-2019
2013,4,Apr,Apr 1-9,2.5285714285714285,early April,1989-2019
2013,4,Apr,Apr 10-17,0.8285714285714286,early April,1989-2019
2013,4,Apr,Apr 18-24,1.042857142857143,late April,1989-2019
2013,4,Apr,Apr 25-31,1.8571428571428572,late April,1989-2019
2013,5,May,May 1-9,2.071428571428571,early May,1989-2019
2013,5,May,May 10-17,3.8285714285714283,early May,1989-2019
2013,5,May,May 18-24,3.657142857142857,late May,1989-2019
2013,5,May,May 25-31,0.6285714285714286,late May,1989-2019
2014,4,Apr,Apr 1-9,1.7714285714285714,early April,1989-2019
2014,4,Apr,Apr 10-17,3.957142857142857,early April,1989-2019
2014,4,Apr,Apr 18-24,3.4857142857142858,late April,1989-2019
2014,4,Apr,Apr 25-31,1.7142857142857144,late April,1989-2019
2014,5,May,May 1-9,3.2571428571428576,early May,1989-2019
2014,5,May,May 10-17,3.885714285714286,early May,1989-2019
2014,5,May,May 18-24,4.914285714285715,late May,1989-2019
2014,5,May,May 25-31,4.642857142857143,late May,1989-2019
2015,4,Apr,Apr 1-9,4.114285714285714,early April,1989-2019
2015,4,Apr,Apr 10-17,4.4,early April,1989-2019
2015,4,Apr,Apr 18-24,3.5428571428571427,late April,1989-2019
2015,4,Apr,Apr 25-31,4.0285714285714285,late April,1989-2019
2015,5,May,May 1-9,4.9714285714285715,early May,1989-2019
2015,5,May,May 10-17,3.3428571428571425,early May,1989-2019
2015,5,May,May 18-24,4,late May,1989-2019
2015,5,May,May 25-31,2.1,late May,1989-2019
2016,4,Apr,Apr 1-9,3.8285714285714287,early April,1989-2019
2016,4,Apr,Apr 10-17,6.314285714285715,early April,1989-2019
2016,4,Apr,Apr 18-24,5.385714285714286,late April,1989-2019
2016,4,Apr,Apr 25-31,2.142857142857143,late April,1989-2019
2016,5,May,May 1-9,4.557142857142857,early May,1989-2019
2016,5,May,May 10-17,3.5714285714285716,early May,1989-2019
2016,5,May,May 18-24,6.028571428571428,late May,1989-2019
2016,5,May,May 25-31,3.4857142857142858,late May,1989-2019
2017,4,Apr,Apr 1-9,1.342857142857143,early April,1989-2019
2017,4,Apr,Apr 10-17,3.371428571428572,early April,1989-2019
2017,4,Apr,Apr 18-24,3.9571428571428573,late April,1989-2019
2017,4,Apr,Apr 25-31,2.742857142857143,late April,1989-2019
2017,5,May,May 1-9,4.657142857142857,early May,1989-2019
2017,5,May,May 10-17,4.571428571428571,early May,1989-2019
2017,5,May,May 18-24,2.385714285714286,late May,1989-2019
2017,5,May,May 25-31,3.4428571428571426,late May,1989-2019
2018,4,Apr,Apr 1-9,0.9,early April,1989-2019
2018,4,Apr,Apr 10-17,1.2142857142857142,early April,1989-2019
2018,4,Apr,Apr 18-24,2.8285714285714287,late April,1989-2019
2018,4,Apr,Apr 25-31,4.242857142857143,late April,1989-2019
2018,5,May,May 1-9,3.6,early May,1989-2019
2018,5,May,May 10-17,5.228571428571429,early May,1989-2019
2018,5,May,May 18-24,5.6,late May,1989-2019
2018,5,May,May 25-31,5.271428571428571,late May,1989-2019
2019,4,Apr,Apr 1-9,1.1,early April,1989-2019
2019,4,Apr,Apr 10-17,3.142857142857143,early April,1989-2019
2019,4,Apr,Apr 18-24,5.671428571428572,late April,1989-2019
2019,4,Apr,Apr 25-31,4.0285714285714285,late April,1989-2019
2019,5,May,May 1-9,3.3000000000000003,early May,1989-2019
2019,5,May,May 10-17,2.628571428571429,early May,1989-2019
2019,5,May,May 18-24,1.5285714285714285,late May,1989-2019
2019,5,May,May 25-31,1.4142857142857141,late May,1989-2019
