year,month,month2,cat,days_tot,cat2,year_span
1989,4,Apr,Apr 1-9,5.814285714285714,early April,1989-2019
1989,4,Apr,Apr 10-17,6.114285714285714,early April,1989-2019
1989,4,Apr,Apr 18-24,7.5285714285714285,late April,1989-2019
1989,4,Apr,Apr 25-31,4.285714285714286,late April,1989-2019
1989,5,May,May 1-9,3.9142857142857146,early May,1989-2019
1989,5,May,May 10-17,7.442857142857143,early May,1989-2019
1989,5,May,May 18-24,5.6571428571428575,late May,1989-2019
1989,5,May,May 25-31,4.285714285714286,late May,1989-2019
1990,4,Apr,Apr 1-9,6.557142857142857,early April,1989-2019
1990,4,Apr,Apr 10-17,5.385714285714286,early April,1989-2019
1990,4,Apr,Apr 18-24,5.257142857142856,late April,1989-2019
1990,4,Apr,Apr 25-31,4.942857142857142,late April,1989-2019
1990,5,May,May 1-9,4.6,early May,1989-2019
1990,5,May,May 10-17,3.742857142857143,early May,1989-2019
1990,5,May,May 18-24,1.657142857142857,late May,1989-2019
1990,5,May,May 25-31,2.1,late May,1989-2019
1991,4,Apr,Apr 1-9,4.628571428571428,early April,1989-2019
1991,4,Apr,Apr 10-17,2.657142857142857,early April,1989-2019
1991,4,Apr,Apr 18-24,0.5571428571428572,late April,1989-2019
1991,4,Apr,Apr 25-31,0.7142857142857144,late April,1989-2019
1991,5,May,May 1-9,1.2428571428571429,early May,1989-2019
1991,5,May,May 10-17,2.857142857142857,early May,1989-2019
1991,5,May,May 18-24,2.1142857142857143,late May,1989-2019
1991,5,May,May 25-31,2.657142857142857,late May,1989-2019
1992,4,Apr,Apr 1-9,3.857142857142857,early April,1989-2019
1992,4,Apr,Apr 10-17,4.342857142857143,early April,1989-2019
1992,4,Apr,Apr 18-24,1.4000000000000001,late April,1989-2019
1992,4,Apr,Apr 25-31,1.9142857142857141,late April,1989-2019
1992,5,May,May 1-9,6.414285714285715,early May,1989-2019
1992,5,May,May 10-17,7.571428571428571,early May,1989-2019
1992,5,May,May 18-24,5.928571428571429,late May,1989-2019
1992,5,May,May 25-31,4.6,late May,1989-2019
1993,4,Apr,Apr 1-9,0.5714285714285714,early April,1989-2019
1993,4,Apr,Apr 10-17,0.5714285714285714,early April,1989-2019
