year,gdds,month
1989,276.75,oct
1990,348.054,oct
1991,275.721,oct
1992,198.493,oct
1993,306.315,oct
1994,343.747,oct
1995,187.12,oct
1996,208.988,oct
1997,160.297,oct
1998,431.3495,oct
1999,398.792,oct
2000,311.991,oct
2001,466.722,oct
2002,155.035,oct
2003,252.815,oct
2004,350.377,oct
2005,289.0625,oct
2006,293.7775,oct
2007,261.114,oct
2008,254.7495,oct
2009,327.658,oct
2010,293.943,oct
2011,311.4015,oct
2012,401.3,oct
2013,226.4355,oct
2014,312.19599999999997,oct
2015,415.897,oct
2016,482.21049999999997,oct
2017,291.0265,oct
2018,221.206,oct
2019,208.1375,oct
1989,95.45,nov
1990,177.274,nov
1991,109.9945,nov
1992,54.5245,nov
1993,176.4945,nov
1994,158.6375,nov
1995,57.768499999999996,nov
1996,51.5415,nov
1997,56.7165,nov
1998,226.381,nov
1999,243.3235,nov
2000,61.9665,nov
2001,314.3255,nov
2002,100.1585,nov
2003,98.9275,nov
2004,173.394,nov
2005,146.626,nov
2006,205.328,nov
2007,92.1505,nov
2008,120.7145,nov
2009,192.906,nov
2010,119.4355,nov
2011,163.8005,nov
2012,229.7,nov
2013,113.1,nov
2014,131.35,nov
2015,241.3795,nov
2016,250.4685,nov
2017,134.501,nov
2018,70.395,nov
2019,113.616,nov
